0	0.519
1	0.52
2	0.521
3	0.52
4	0.52
5	0.45
6	0.232
7	0.162
8	0.126
9	0.089
10	0.04399999999999999
11	0.016999999999999994
12	0.006999999999999992
13	-3.469446951953614e-18
14	0.011
15	0.08399999999999999
16	0.183
17	0.207
18	0.241
19	0.314
20	0.384
21	0.44
22	0.491
23	0.514
24	0.531
25	0.538
26	0.543
27	0.549
28	0.548
29	0.549
30	0.48700000000000004
31	0.31600000000000006
32	0.2700000000000001
33	0.22100000000000009
34	0.1710000000000001
35	0.1390000000000001
36	0.1320000000000001
37	0.15200000000000008
38	0.18300000000000008
39	0.24800000000000008
40	0.2790000000000001
41	0.31400000000000006
42	0.35600000000000004
43	0.40800000000000003
44	0.445
45	0.464
46	0.496
47	0.514
48	0.531
49	0.538
50	0.543
51	0.549
52	0.548
53	0.549
54	0.48700000000000004
55	0.31600000000000006
56	0.2700000000000001
57	0.22100000000000009
58	0.1710000000000001
59	0.1390000000000001
60	0.1320000000000001
61	0.15200000000000008
62	0.18300000000000008
63	0.24800000000000008
64	0.2790000000000001
65	0.31400000000000006
66	0.35600000000000004
67	0.40800000000000003
68	0.445
69	0.464
70	0.496
71	0.514
72	0.519
73	0.52
74	0.521
75	0.52
76	0.52
77	0.45
78	0.232
79	0.162
80	0.126
81	0.089
82	0.04399999999999999
83	0.016999999999999994
84	0.006999999999999992
85	-3.469446951953614e-18
86	0.011
87	0.08399999999999999
88	0.183
89	0.207
90	0.241
91	0.314
92	0.384
93	0.44
94	0.491
95	0.514
96	0.519
97	0.52
98	0.521
99	0.52
100	0.52
101	0.45
102	0.232
103	0.162
104	0.126
105	0.089
106	0.04399999999999999
107	0.016999999999999994
108	0.006999999999999992
109	-3.469446951953614e-18
110	0.011
111	0.08399999999999999
112	0.183
113	0.207
114	0.241
115	0.314
116	0.384
117	0.44
118	0.491
119	0.514
120	0.519
121	0.52
122	0.521
123	0.52
124	0.52
125	0.45
126	0.232
127	0.162
128	0.126
129	0.089
130	0.04399999999999999
131	0.016999999999999994
132	0.006999999999999992
133	-3.469446951953614e-18
134	0.011
135	0.08399999999999999
136	0.183
137	0.207
138	0.241
139	0.314
140	0.384
141	0.44
142	0.491
143	0.514
144	0.519
145	0.52
146	0.521
147	0.52
148	0.52
149	0.45
150	0.232
151	0.162
152	0.126
153	0.089
154	0.04399999999999999
155	0.016999999999999994
156	0.006999999999999992
157	-3.469446951953614e-18
158	0.011
159	0.08399999999999999
160	0.183
161	0.207
162	0.241
163	0.314
164	0.384
165	0.44
166	0.491
167	0.514
168	0.519
169	0.52
170	0.521
171	0.52
172	0.52
173	0.45
174	0.232
175	0.162
176	0.126
177	0.089
178	0.04399999999999999
179	0.016999999999999994
180	0.006999999999999992
181	-3.469446951953614e-18
182	0.011
183	0.08399999999999999
184	0.183
185	0.207
186	0.241
187	0.314
188	0.384
189	0.44
190	0.491
191	0.514
192	0.531
193	0.538
194	0.543
195	0.549
196	0.548
197	0.549
198	0.48700000000000004
199	0.31600000000000006
200	0.2700000000000001
201	0.22100000000000009
202	0.1710000000000001
203	0.1390000000000001
204	0.1320000000000001
205	0.15200000000000008
206	0.18300000000000008
207	0.24800000000000008
208	0.2790000000000001
209	0.31400000000000006
210	0.35600000000000004
211	0.40800000000000003
212	0.445
213	0.464
214	0.496
215	0.514
216	0.531
217	0.538
218	0.543
219	0.549
220	0.548
221	0.549
222	0.48700000000000004
223	0.31600000000000006
224	0.2700000000000001
225	0.22100000000000009
226	0.1710000000000001
227	0.1390000000000001
228	0.1320000000000001
229	0.15200000000000008
230	0.18300000000000008
231	0.24800000000000008
232	0.2790000000000001
233	0.31400000000000006
234	0.35600000000000004
235	0.40800000000000003
236	0.445
237	0.464
238	0.496
239	0.514
240	0.519
241	0.52
242	0.521
243	0.52
244	0.52
245	0.45
246	0.232
247	0.162
248	0.126
249	0.089
250	0.04399999999999999
251	0.016999999999999994
252	0.006999999999999992
253	-3.469446951953614e-18
254	0.011
255	0.08399999999999999
256	0.183
257	0.207
258	0.241
259	0.314
260	0.384
261	0.44
262	0.491
263	0.514
264	0.519
265	0.52
266	0.521
267	0.52
268	0.52
269	0.45
270	0.232
271	0.162
272	0.126
273	0.089
274	0.04399999999999999
275	0.016999999999999994
276	0.006999999999999992
277	-3.469446951953614e-18
278	0.011
279	0.08399999999999999
280	0.183
281	0.207
282	0.241
283	0.314
284	0.384
285	0.44
286	0.491
287	0.514
288	0.519
289	0.52
290	0.521
291	0.52
292	0.52
293	0.45
294	0.232
295	0.162
296	0.126
297	0.089
298	0.04399999999999999
299	0.016999999999999994
300	0.006999999999999992
301	-3.469446951953614e-18
302	0.011
303	0.08399999999999999
304	0.183
305	0.207
306	0.241
307	0.314
308	0.384
309	0.44
310	0.491
311	0.514
312	0.519
313	0.52
314	0.521
315	0.52
316	0.52
317	0.45
318	0.232
319	0.162
320	0.126
321	0.089
322	0.04399999999999999
323	0.016999999999999994
324	0.006999999999999992
325	-3.469446951953614e-18
326	0.011
327	0.08399999999999999
328	0.183
329	0.207
330	0.241
331	0.314
332	0.384
333	0.44
334	0.491
335	0.514
336	0.519
337	0.52
338	0.521
339	0.52
340	0.52
341	0.45
342	0.232
343	0.162
344	0.126
345	0.089
346	0.04399999999999999
347	0.016999999999999994
348	0.006999999999999992
349	-3.469446951953614e-18
350	0.011
351	0.08399999999999999
352	0.183
353	0.207
354	0.241
355	0.314
356	0.384
357	0.44
358	0.491
359	0.514
360	0.531
361	0.538
362	0.543
363	0.549
364	0.548
365	0.549
366	0.48700000000000004
367	0.31600000000000006
368	0.2700000000000001
369	0.22100000000000009
370	0.1710000000000001
371	0.1390000000000001
372	0.1320000000000001
373	0.15200000000000008
374	0.18300000000000008
375	0.24800000000000008
376	0.2790000000000001
377	0.31400000000000006
378	0.35600000000000004
379	0.40800000000000003
380	0.445
381	0.464
382	0.496
383	0.514
384	0.531
385	0.538
386	0.543
387	0.549
388	0.548
389	0.549
390	0.48700000000000004
391	0.31600000000000006
392	0.2700000000000001
393	0.22100000000000009
394	0.1710000000000001
395	0.1390000000000001
396	0.1320000000000001
397	0.15200000000000008
398	0.18300000000000008
399	0.24800000000000008
400	0.2790000000000001
401	0.31400000000000006
402	0.35600000000000004
403	0.40800000000000003
404	0.445
405	0.464
406	0.496
407	0.514
408	0.519
409	0.52
410	0.521
411	0.52
412	0.52
413	0.45
414	0.232
415	0.162
416	0.126
417	0.089
418	0.04399999999999999
419	0.016999999999999994
420	0.006999999999999992
421	-3.469446951953614e-18
422	0.011
423	0.08399999999999999
424	0.183
425	0.207
426	0.241
427	0.314
428	0.384
429	0.44
430	0.491
431	0.514
432	0.519
433	0.52
434	0.521
435	0.52
436	0.52
437	0.45
438	0.232
439	0.162
440	0.126
441	0.089
442	0.04399999999999999
443	0.016999999999999994
444	0.006999999999999992
445	-3.469446951953614e-18
446	0.011
447	0.08399999999999999
448	0.183
449	0.207
450	0.241
451	0.314
452	0.384
453	0.44
454	0.491
455	0.514
456	0.519
457	0.52
458	0.521
459	0.52
460	0.52
461	0.45
462	0.232
463	0.162
464	0.126
465	0.089
466	0.04399999999999999
467	0.016999999999999994
468	0.006999999999999992
469	-3.469446951953614e-18
470	0.011
471	0.08399999999999999
472	0.183
473	0.207
474	0.241
475	0.314
476	0.384
477	0.44
478	0.491
479	0.514
480	0.519
481	0.52
482	0.521
483	0.52
484	0.52
485	0.45
486	0.232
487	0.162
488	0.126
489	0.089
490	0.04399999999999999
491	0.016999999999999994
492	0.006999999999999992
493	-3.469446951953614e-18
494	0.011
495	0.08399999999999999
496	0.183
497	0.207
498	0.241
499	0.314
500	0.384
501	0.44
502	0.491
503	0.514
504	0.519
505	0.52
506	0.521
507	0.52
508	0.52
509	0.45
510	0.232
511	0.162
512	0.126
513	0.089
514	0.04399999999999999
515	0.016999999999999994
516	0.006999999999999992
517	-3.469446951953614e-18
518	0.011
519	0.08399999999999999
520	0.183
521	0.207
522	0.241
523	0.314
524	0.384
525	0.44
526	0.491
527	0.514
528	0.531
529	0.538
530	0.543
531	0.549
532	0.548
533	0.549
534	0.48700000000000004
535	0.31600000000000006
536	0.2700000000000001
537	0.22100000000000009
538	0.1710000000000001
539	0.1390000000000001
540	0.1320000000000001
541	0.15200000000000008
542	0.18300000000000008
543	0.24800000000000008
544	0.2790000000000001
545	0.31400000000000006
546	0.35600000000000004
547	0.40800000000000003
548	0.445
549	0.464
550	0.496
551	0.514
552	0.531
553	0.538
554	0.543
555	0.549
556	0.548
557	0.549
558	0.48700000000000004
559	0.31600000000000006
560	0.2700000000000001
561	0.22100000000000009
562	0.1710000000000001
563	0.1390000000000001
564	0.1320000000000001
565	0.15200000000000008
566	0.18300000000000008
567	0.24800000000000008
568	0.2790000000000001
569	0.31400000000000006
570	0.35600000000000004
571	0.40800000000000003
572	0.445
573	0.464
574	0.496
575	0.514
576	0.519
577	0.52
578	0.521
579	0.52
580	0.52
581	0.45
582	0.232
583	0.162
584	0.126
585	0.089
586	0.04399999999999999
587	0.016999999999999994
588	0.006999999999999992
589	-3.469446951953614e-18
590	0.011
591	0.08399999999999999
592	0.183
593	0.207
594	0.241
595	0.314
596	0.384
597	0.44
598	0.491
599	0.514
600	0.519
601	0.52
602	0.521
603	0.52
604	0.52
605	0.45
606	0.232
607	0.162
608	0.126
609	0.089
610	0.04399999999999999
611	0.016999999999999994
612	0.006999999999999992
613	-3.469446951953614e-18
614	0.011
615	0.08399999999999999
616	0.183
617	0.207
618	0.241
619	0.314
620	0.384
621	0.44
622	0.491
623	0.514
624	0.519
625	0.52
626	0.521
627	0.52
628	0.52
629	0.45
630	0.232
631	0.162
632	0.126
633	0.089
634	0.04399999999999999
635	0.016999999999999994
636	0.006999999999999992
637	-3.469446951953614e-18
638	0.011
639	0.08399999999999999
640	0.183
641	0.207
642	0.241
643	0.314
644	0.384
645	0.44
646	0.491
647	0.514
648	0.519
649	0.52
650	0.521
651	0.52
652	0.52
653	0.45
654	0.232
655	0.162
656	0.126
657	0.089
658	0.04399999999999999
659	0.016999999999999994
660	0.006999999999999992
661	-3.469446951953614e-18
662	0.011
663	0.08399999999999999
664	0.183
665	0.207
666	0.241
667	0.314
668	0.384
669	0.44
670	0.491
671	0.514
672	0.519
673	0.52
674	0.521
675	0.52
676	0.52
677	0.45
678	0.232
679	0.162
680	0.126
681	0.089
